,Date,Price,Open,High,Low,Volume
0,7/1/2009,16524,17207,17207,16251,17960000
1,7/2/2009,15841,16251,16387,15705,4360000
2,7/3/2009,15295,15431,15568,15295,2590000
3,7/6/2009,15978,15295,15978,15295,4520000
4,7/7/2009,15431,15705,15841,15431,3210000
5,7/8/2009,15158,15022,15295,14885,2190000
6,7/9/2009,14749,14885,15295,14612,2820000
7,7/10/2009,14066,14476,14612,14066,5670000
8,7/13/2009,13383,13656,14066,13383,2340000
9,7/14/2009,13055,13438,13438,12973,2440000
10,7/15/2009,13383,13110,13602,13110,2320000
11,7/16/2009,13602,13656,13656,13492,1840000
12,7/17/2009,13410,13520,13574,13328,894150
13,7/20/2009,12782,12864,12919,12755,2500000
14,7/21/2009,12809,12891,13028,12782,1390000
15,7/22/2009,12973,12973,13001,12891,1180000
16,7/23/2009,13602,12837,13602,12837,2670000
17,7/24/2009,14202,14202,14202,14202,1800000
18,7/27/2009,14885,14885,14885,14339,4410000
19,7/28/2009,14476,14885,15295,14339,3430000
20,7/29/2009,14339,14612,14749,14066,2660000
21,7/30/2009,14066,14202,14339,13793,1740000
22,7/31/2009,14749,14612,14749,14476,3240000
23,8/3/2009,15431,15431,15431,15022,7780000
24,8/4/2009,15978,16114,16114,15568,5370000
25,8/5/2009,15841,15841,16114,15568,4760000
26,8/6/2009,15568,15841,16114,15431,4760000
27,8/7/2009,15431,15431,15705,15431,2930000
28,8/10/2009,15705,15568,15841,15431,1980000
29,8/11/2009,15568,15568,15841,15431,3470000
30,8/12/2009,15431,15705,15705,15431,2860000
31,8/13/2009,15568,15705,15705,15431,2580000
32,8/14/2009,15568,15431,15705,15431,2040000
33,8/17/2009,15295,15431,15568,15295,1790000
34,8/18/2009,15158,15022,15295,15022,2670000
35,8/19/2009,15158,15431,15431,15022,2070000
36,8/20/2009,15158,15295,15295,15022,1660000
37,8/21/2009,15295,15295,15841,15295,4150000
38,8/24/2009,15431,15568,15568,15295,1820000
39,8/25/2009,15158,15431,15431,15158,1660000
40,8/26/2009,15295,15295,15431,15158,1480000
41,8/27/2009,15295,15295,15295,15158,1550000
42,8/28/2009,15431,15431,15431,15295,1840000
43,8/31/2009,15705,15705,15705,15431,2510000
44,9/1/2009,15568,15431,15705,15431,2440000
45,9/3/2009,15295,15295,15431,14885,3100000
46,9/4/2009,14885,15295,15295,14885,2920000
47,9/7/2009,14476,14476,14885,14202,2740000
48,9/8/2009,14612,14749,14749,14476,1980000
49,9/9/2009,14612,14612,14749,14476,1960000
50,9/10/2009,14476,14476,14612,14476,1190000
51,9/11/2009,14476,14476,14612,14339,1200000
52,9/14/2009,14476,14476,14612,14339,1690000
53,9/15/2009,14339,14612,14612,14339,2090000
54,9/16/2009,15022,15022,15022,15022,2530000
55,9/17/2009,15295,15705,15705,14749,6310000
56,9/18/2009,15431,15022,15431,14749,2440000
57,9/21/2009,15022,15431,15431,15022,2190000
58,9/22/2009,14749,14749,15022,14749,1890000
59,9/23/2009,14885,15022,15295,14885,2180000
60,9/24/2009,14612,14749,14885,14612,1560000
