Date,Price,Open,High,Low,Vol.,Change %,Volume
2/23/2024,"89,600","89,500","91,400","88,900",1.80M,0.11%,1800000
2/22/2024,"89,500","90,600","91,000","89,500",1.22M,-1.86%,1220000
2/21/2024,"91,200","91,700","91,700","90,500",1.37M,-0.11%,1370000
2/20/2024,"91,300","90,100","91,400","89,400",1.40M,1.22%,1400000
2/19/2024,"90,200","89,900","90,500","89,300",1.05M,0.67%,1050000
2/16/2024,"89,600","89,900","90,200","89,500",734.10K,-0.33%,734100
2/15/2024,"89,900","90,000","90,700","89,100",1.05M,-0.11%,1050000
2/7/2024,"90,000","90,000","90,800","89,300",1.37M,0.56%,1370000
2/6/2024,"89,500","90,300","90,600","89,100",1.35M,-0.56%,1350000
2/5/2024,"90,000","90,200","90,600","89,400",1.95M,-0.33%,1950000
2/2/2024,"90,300","89,100","90,500","89,100",733.00K,0.56%,733000
2/1/2024,"89,800","88,000","90,200","88,000",598.10K,1.47%,598100
1/31/2024,"88,500","90,600","90,600","88,500",945.60K,-2.75%,945600
1/30/2024,"91,000","91,200","91,200","90,100",888.60K,-0.22%,888600
1/29/2024,"91,200","91,800","92,000","90,900",730.50K,-0.87%,730500
1/26/2024,"92,000","91,600","92,000","91,400",953.10K,1.10%,953100
1/25/2024,"91,000","91,100","91,600","90,700",503.30K,-0.11%,503300
1/24/2024,"91,100","91,600","92,000","90,900",744.70K,-0.44%,744700
1/23/2024,"91,500","92,100","92,400","90,400",1.26M,-0.54%,1260000
1/22/2024,"92,000","93,500","93,500","92,000",1.05M,-0.65%,1050000
1/19/2024,"92,600","91,000","93,000","90,400",1.47M,1.65%,1470000
1/18/2024,"91,100","90,900","91,200","90,000",1.42M,0.22%,1420000
1/17/2024,"90,900","89,000","91,000","89,000",1.58M,1.00%,1580000
1/16/2024,"90,000","89,000","90,100","88,900",1.37M,0.00%,1370000
1/15/2024,"90,000","89,000","90,100","88,900",1.91M,1.47%,1910000
1/12/2024,"88,700","88,100","89,500","87,400",1.91M,-0.67%,1910000
1/11/2024,"89,300","89,500","90,000","88,600",1.49M,-0.22%,1490000
1/10/2024,"89,500","87,800","89,500","87,200",1.80M,1.94%,1800000
1/9/2024,"87,800","86,800","87,900","86,800",1.93M,1.15%,1930000
1/8/2024,"86,800","86,300","86,800","86,300",1.61M,0.70%,1610000
1/5/2024,"86,200","85,900","86,200","85,700",1.18M,0.35%,1180000
1/4/2024,"85,900","84,500","86,200","84,000",2.66M,1.66%,2660000
1/3/2024,"84,500","83,500","84,500","82,800",1.37M,1.20%,1370000
1/2/2024,"83,500","82,900","83,600","82,200",1.79M,3.99%,1790000
12/29/2023,"80,300","83,500","83,900","80,300",1.62M,-3.02%,1620000
12/28/2023,"82,800","82,700","83,100","82,400",703.20K,0.12%,703200
12/27/2023,"82,700","82,900","83,200","82,500",899.60K,-0.12%,899600
12/26/2023,"82,800","82,000","82,800","82,000",971.20K,1.22%,971200
12/25/2023,"81,800","80,900","81,800","80,700",1.30M,1.11%,1300000
12/22/2023,"80,900","80,900","81,100","80,400",1.58M,0.00%,1580000
12/21/2023,"80,900","81,000","81,000","80,300",2.03M,-0.25%,2030000
12/20/2023,"81,100","81,200","81,300","80,500",1.87M,-0.12%,1870000
12/19/2023,"81,200","81,500","81,500","80,100",1.96M,-0.37%,1960000
12/18/2023,"81,500","82,800","82,900","81,500",1.80M,-0.85%,1800000
12/15/2023,"82,200","84,000","84,400","82,200",2.53M,-2.61%,2530000
12/14/2023,"84,400","84,000","84,500","84,000",840.60K,0.84%,840600
12/13/2023,"83,700","84,200","84,500","83,700",1.15M,-0.59%,1150000
